"ppm","kex = 1","kex = 1.25","kex = 1.5","kex = 1.75","kex = 2","kex = 2.25","kex = 2.5","kex = 2.75","kex = 3","kex = 3.25","kex = 3.5","kex = 3.75","kex = 4","kex = 4.25","kex = 4.5","kex = 4.75","kex = 5"
6.20354991043804,0.500378652325321,0.500733577538703,0.500803070781165,0.500834228472174,0.500886858993521,0.500980386568216,0.501146388953392,0.501439874658155,0.50195245407908,0.502814433384809,0.50410636296463,0.505488355870912,0.505927055355685,0.505019588182793,0.503659821261774,0.502547435853736,0.501803159677088
6.20615534929165,0.500380158463125,0.500735134496485,0.500804716901976,0.50083603334172,0.500888946105425,0.500982975066986,0.501149866295692,0.501444917654891,0.501960200305189,0.50282656373606,0.504124333108315,0.505510246072485,0.505945988488446,0.505031934427596,0.503667356764373,0.50255222342744,0.501806406847211
6.20876078814525,0.500381673210976,0.500736700460839,0.500806372727438,0.500837849158156,0.500891046372421,0.500985580642114,0.501153367658069,0.501449996860748,0.501968003561362,0.502838783754688,0.504142431687587,0.505532278370779,0.505965029589658,0.505044346918696,0.503674932429693,0.502557036515535,0.501809671322604
6.21136622699886,0.500383196620548,0.500738275486892,0.50080803831884,0.500839675993678,0.500893159886085,0.500988203419592,0.501156893227357,0.501455112568854,0.501975864319579,0.502851094179611,0.504160659705215,0.50555445373111,0.505984179274152,0.5050568260067,0.503682548468779,0.502561875252074,0.501812953194189
6.21397166585247,0.500384728743964,0.500739859630305,0.50080971373801,0.500841513921138,0.500895286738871,0.500990843526649,0.501160443192278,0.501460265075344,0.501983783056693,0.502863495757264,0.504179018173559,0.505576773126926,0.506003438161467,0.505069372044897,0.503690205094287,0.50256673977215,0.501816252553588
6.21657710470607,0.500386269633768,0.500741452947175,0.500811399047335,0.500843363014058,0.500897427024103,0.500993501091764,0.501164017743454,0.501465454679405,0.501991760254496,0.50287598924168,0.504197508114681,0.505599237539888,0.506022806875885,0.505081985389285,0.503697902520512,0.502571630211885,0.501819569493135
6.21918254355968,0.500387819343,0.500743055494118,0.500813094309737,0.500845223346642,0.500899580836006,0.500996176244685,0.501167617073444,0.501470681683302,0.501999796399766,0.502888575394585,0.504216130560443,0.505621847959942,0.506042286046472,0.505094666398584,0.503705640963392,0.502576546708449,0.501822904105865
6.22178798241329,0.500389377925141,0.500744667328211,0.500814799588734,0.500847094993773,0.50090174826969,0.500998869116433,0.501171241376751,0.501475946392419,0.502007891984332,0.502901254985476,0.504234886552616,0.505644605385392,0.506061876307124,0.50510741543427,0.503713420640523,0.502581489400062,0.501826256485532
6.22439342126689,0.500390945434098,0.500746288507079,0.500816514948384,0.500848978031028,0.500903929421189,0.50100157983933,0.501174890849855,0.501481249115296,0.502016047505135,0.502914028791724,0.50425377714298,0.505667510822982,0.5060815782966,0.505120232860591,0.503721241771178,0.50258645842602,0.501829626726609
6.2269988601205,0.500392521924304,0.500747919088812,0.500818240453341,0.500850872534686,0.500906124387441,0.501004308547003,0.501178565691234,0.501486590163665,0.502024263464282,0.502926897598648,0.504272803393436,0.505690565287971,0.506101392658569,0.505133119044597,0.503729104576318,0.502591453926677,0.501833014924301
6.22960429897411,0.500394107450632,0.500749559132042,0.500819976168829,0.500852778581727,0.500908333266325,0.501007055374403,0.501182266101383,0.501491969852487,0.502032540369112,0.502939862199621,0.504291966376111,0.505713769804216,0.50612132004165,0.505146074356156,0.50373700927861,0.502596476043482,0.501836421174543
6.23220973782772,0.500395702068413,0.500751208695893,0.500821722160662,0.500854696249849,0.500910556156653,0.501009820457818,0.501185992282839,0.501497388499991,0.502040878732254,0.502952923396155,0.504311267173469,0.505737125404247,0.506141361099457,0.505159099167987,0.503744956102431,0.502601524918963,0.501839845574008
6.23481517668132,0.500397305833498,0.500752867840033,0.500823478495244,0.500856625617473,0.500912793158185,0.501012603934893,0.501189744440212,0.501502846427712,0.502049279071693,0.502966081997997,0.504330706878418,0.505760633129346,0.506161516490635,0.505172193855681,0.503752945273901,0.502606600696757,0.501843288220122
6.23742061553493,0.500398918802209,0.50075453662464,0.500825245239594,0.500858566763753,0.500915044371647,0.50101540594464,0.5011935227802,0.501508343960532,0.502057741910832,0.502979338823227,0.50435028659443,0.505784294029634,0.506181786878917,0.505185358797721,0.503760977020882,0.502611703521612,0.501846749211061
6.24002605438854,0.500400541031355,0.500756215110431,0.500827022461326,0.500860519768568,0.500917309898732,0.501018226627458,0.501197327511617,0.501513881426716,0.502066267778558,0.50299269469835,0.504370007435647,0.505808109164152,0.506202172933149,0.505198594375519,0.503769051573002,0.502616833539396,0.501850228645764
6.24263149324214,0.500402172578216,0.500757903358656,0.500828810228673,0.500862484712556,0.500919589842119,0.501021066125146,0.501201158845417,0.501519459157955,0.502074857209301,0.503006150458397,0.504389870527,0.50583207960094,0.506222675327351,0.505211900973425,0.503777169161665,0.502621990897101,0.501853726623926
6.24523693209575,0.500403813500614,0.500759601431111,0.500830608610473,0.500864461677092,0.500921884305474,0.501023924580921,0.501205016994719,0.50152507748941,0.502083510743109,0.503019706947023,0.504409877004322,0.505856206417125,0.506243294740755,0.505225278978771,0.503785330020071,0.502627175742862,0.50185724324603
6.24784237094936,0.500405463856852,0.50076130939014,0.50083241767619,0.500866450744333,0.500924193393471,0.501026802139432,0.501208902174839,0.501530736759744,0.50209222892571,0.50303336501661,0.504430028014469,0.505880490699002,0.506264031857845,0.505238728781881,0.503793534383225,0.502632388225966,0.501860778613328
6.25044780980296,0.500407123705754,0.50076302729865,0.500834237495939,0.500868451997185,0.500926517211797,0.501029698946777,0.501212814603306,0.501536437311174,0.502101012308579,0.503047125528363,0.504450324715439,0.505904933542124,0.506284887368412,0.50525225077611,0.50380178248797,0.502637628496858,0.501864332827866
6.25305324865657,0.50040879310667,0.500764755220087,0.500836068140461,0.500870465519349,0.500928855867171,0.501032615150525,0.50121675449989,0.501542179489508,0.502109861449011,0.503060989352422,0.504470768276488,0.505929536051388,0.506305861967596,0.505265845357857,0.503810074572975,0.502642896707153,0.501867905992471
6.25565868751018,0.500410472119429,0.500766493218475,0.500837909681143,0.500872491395304,0.500931209467337,0.501035550899723,0.501220722086637,0.501547963644186,0.502118776910185,0.503074957367957,0.504491359878259,0.505954299341118,0.506326956355929,0.505279512926602,0.503818410878774,0.502648193009646,0.501871498210787
